Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
2,Dans votre domicile,2,2.0,2,"Non, je les utilisais déjà beaucoup",29.0,4,Une fois par jour,3,3,Les journées en télétravail sont plus fatiguantes,C'est pareil,"Vous travaillez seul la plupart du temps,Travailler en équipe",0.0,4,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,3,3,3,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,4,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Grossir",Une femme,"Oui, une terrasse ou un balcon",50.0,2,44,"La situation liée au Covid 19,La présence d'autres personnes",5.61310830551,48.6889749341,1-3 personnes,"A changer mes priorités, A être plus autonome",4.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,3.0,3,Un peu,53.0,4,Deux fois ou plus par jour,3,3,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide",C'est pareil,"Manager des équipes ou des projets,Vous travaillez seul la plupart du temps,Travailler en équipe",0.0,3,Oui,3,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous avez davantage de temps libre, Vous êtes plus concentré.e sur votre travail, Vous perdez moins de temps dans les transports",1 fois par semaine,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,4,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),3.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",38.0,4,11,"La situation liée au Covid 19,Les tâches ménagères,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,3.0,Célibataire
2,Dans votre domicile,1,3.0,2,Un peu,40.0,4,Une fois par jour,3,4,"La communication avec vos collègues est moins fluide,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Les journées en télétravail sont plus fatiguantes,C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",1.0,3,Oui,1,Vous perdez moins de temps dans les transports,1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,3,5,2,Non pas du tout,Institution publique,3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Ne pas pouvoir sortir dehors",Un homme,"Oui, une cour",70.0,2,11,"La présence d'autres personnes,Vous regardez très régulièrement l'actualité,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,elle renforce mes convictions sur le fait que le modèle de société que l'on suit ne va pas dans la bonne direction,3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,4.0,4,Beaucoup,22.0,4,Une fois dans la semaine ou moins,3,3,C'est difficile de se concentrer,"Oui, on est plus proches",Travailler en équipe,0.0,2,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous avez davantage de temps libre",Jamais,Mon travail est plus étalé sur la journée,3,3,4,Un peu,Grande entreprise (plus de 5000 salariés),3.0,"Oui, une fois de temps en temps",De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Avoir des projets annulés",Une femme,"Oui, un jardin",200.0,4,93,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,La situation liée au Covid 19",6.06098593796,43.9587502921,Aucune,"A changer mes priorités, A être plus empathique, A télétravailler",4.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,2.0,4,"Non, je les utilisais déjà beaucoup",58.0,4,Un jour sur deux ou moins,3,4,"Vous avez l'impression de ne jamais vous arrêter de travailler,C'est difficile de se concentrer","Oui, on est plus proches","Faire du développement commercial,Travailler en équipe,Manager des équipes ou des projets",0.0,5,Oui,2,"Votre entreprise s'organise mieux, Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,3,4,Enormément,Entreprise individuelle ou indépendant,2.0,"Oui, le plus possible",De 30min à 1h,3,Profession libérale ou dirigeant,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Un homme,"Oui, une cour",70.0,5,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité,Vous n'êtes pas particulièrement distrait.e",2.50339683029,48.7093130373,1-3 personnes,"Rien, A changer mes priorités",4.0,4.0,Célibataire
2,Dans votre domicile,1,2.0,4,"Non, je les utilisais déjà beaucoup",31.0,5,Une fois dans la semaine ou moins,5,4,C'est difficile de se concentrer,C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,5,Oui,2,"Vous perdez moins de temps dans les transports, Vous pouvez vous habiller comme vous voulez, Vous avez davantage de temps libre",Jamais,Mon travail est plus étalé sur la journée,3,3,2,Non pas du tout,Institution publique,2.0,Non,Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,La santé de vos proches",Une femme,Aucun espace extérieur,42.0,2,11,"Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.7093130373,1-3 personnes,"A relativiser sur mes ""problèmes"" personnels. Ils ne sont pas si graves que ça au vu de la situation actuelle.",2.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,3.0,4,Un peu,32.0,5,Une fois dans la semaine ou moins,4,4,Vous vous sentez isolé.e,"Oui, on est plus proches",Vous travaillez seul la plupart du temps,1.0,1,Oui,5,"Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,2,3,4,Un peu,Association,3.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Employé,1,"La santé de vos proches,Vous dormez mal,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,"Oui, un jardin",100.0,3,76,La situation liée au Covid 19,2.14393168551,43.702501805,1-3 personnes,A changer mes priorités,4.0,3.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",25.0,3,Une fois dans la semaine ou moins,3,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,Travailler en équipe,0.0,3,Oui,3,"Votre entreprise s'organise mieux, Vous pouvez vous habiller comme vous voulez, Vous dormez mieux, Vous perdez moins de temps dans les transports",Jamais,Non,3,3,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,2,Employé,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés,Vous vous sentez seul.e,Ne pas pouvoir sortir dehors",Une femme,"Oui, une terrasse ou un balcon",45.0,3,75,Vous n'êtes pas particulièrement distrait.e,0.207590925898,45.2068394103,Aucune,"A télétravailler, Rien",3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,1,3.0,3,"Non, je les utilisais déjà beaucoup",29.0,2,Une fois dans la semaine ou moins,2,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,1.0,4,Oui,1,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",Jamais,Oui car je suis en chômage partiel,3,3,3,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,5,Profession intermédiaire,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, une cour",90.0,3,84,La présence d'autres personnes,4.5361294779,45.5146468499,1-3 personnes,"A télétravailler, A être plus autonome",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,4.0,4,"Non, je les utilisais déjà beaucoup",22.0,5,Une fois dans la semaine ou moins,4,5,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,0.0,2,Non,3,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée",Tous les jours,Mon travail est plus étalé sur la journée et le soir,2,3,5,Un peu,Entreprise individuelle ou indépendant,4.0,Comme avant (si vous en faisiez déjà),Moins de 10min,5,Profession libérale ou dirigeant,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés,Vous avez des sautes d'humeur",Une femme,Aucun espace extérieur,60.0,5,93,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Vous regardez très régulièrement l'actualité",6.06098593796,43.9587502921,1-3 personnes,"A faire plus attention à mes proches, A changer mes priorités, A être plus empathique",4.0,4.0,En couple mais nous ne sommes pas confinés ensemble
3,Dans votre domicile,3,3.0,4,Un peu,51.0,4,Une fois par jour,3,4,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,4,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,3,3,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Grossir",Un homme,"Oui, un jardin",160.0,5,84,Les interactions à distance avec vos proches,4.5361294779,45.5146468499,4-9 personnes,"A faire plus attention à mes proches, A télétravailler",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre résidence secondaire,4,2.0,3,Un peu,50.0,3,Un jour sur deux ou moins,5,4,"La communication avec vos collègues est moins fluide,Les journées en télétravail sont plus fatiguantes",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,1,Oui,3,"Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail, Vous pouvez faire des pauses dans la journée",Exceptionnellement,Non,2,2,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),1.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,2,"La santé de vos proches,Avoir des projets annulés,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors",Un homme,"Oui, une terrasse ou un balcon",80.0,4,93,"La situation liée au Covid 19,Les interactions à distance avec vos proches",6.06098593796,43.9587502921,Aucune,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
2,Chez un membre de votre famille,2,4.0,2,"Non, je les utilisais déjà beaucoup",25.0,5,Une fois dans la semaine ou moins,4,3,"C'est difficile de se concentrer,Les journées en télétravail sont plus fatiguantes,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,"Faire du développement commercial,Travailler en équipe,Manager des équipes ou des projets",0.0,4,Oui,1,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez",Jamais,Mon travail est plus étalé sur la journée,3,1,2,Non pas du tout,Très petite entreprise (moins de 10 salariés),3.0,Non,Moins de 10min,5,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, un jardin",90.0,2,53,"La présence d'autres personnes,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,Les tâches ménagères,La situation liée au Covid 19",-2.84155100405,48.177562744,1-3 personnes,A être plus empathique,3.0,3.0,C'est compliqué
4,Dans votre domicile,1,1.0,3,Un peu,68.0,5,Une fois par jour,3,3,"Les journées en télétravail sont plus fatiguantes,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,1,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Jamais,Oui car je suis en chômage partiel,3,2,4,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Profession intermédiaire,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous avez des sautes d'humeur",Une femme,Aucun espace extérieur,36.0,4,11,"Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,La situation liée au Covid 19",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus autonome, A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",4.0,3.0,Célibataire
3,Dans votre domicile,3,1.0,5,Un peu,48.0,3,Une fois dans la semaine ou moins,4,4,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,0.0,4,Oui,3,Vous pouvez vous habiller comme vous voulez,Jamais,Non,2,2,4,Un peu,Grande entreprise (plus de 5000 salariés),2.0,Non,De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Une femme,Aucun espace extérieur,75.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.7093130373,Aucune,Rien,3.0,4.0,Célibataire
3,Dans votre domicile,3,4.0,4,Beaucoup,54.0,5,Une fois dans la semaine ou moins,3,4,C'est difficile de se concentrer,C'est pareil,Vous travaillez seul la plupart du temps,0.0,5,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent",Tous les jours,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,4,4,Un peu,Entreprise individuelle ou indépendant,3.0,Comme avant (si vous en faisiez déjà),Moins de 10min,2,Profession libérale ou dirigeant,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, un jardin",150.0,5,11,"Vous regardez très régulièrement l'actualité,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,4-9 personnes,"A être plus empathique, A faire plus attention à mes proches",4.0,5.0,En couple et nous sommes confinés ensemble
